state, visited
Alabama, 79.4932143177365
Alaska, 38.4935350284944
Arizona, 63.9776333603089
Arkansas, 76.0414261592149
California, 56.136670908711
Colorado, 57.2219635741453
Connecticut, 67.3848013205053
Delaware, 60.5985691108783
District of Columbia, 41.3942401474354
Florida, 63.806622551995
Georgia, 57.1281364229084
Hawaii, 34.6309031596677
Idaho, 59.8530443531029
Illinois, 50.1656833927386
Indiana, 57.3474684973765
Iowa, 59.4333317223899
Kansas, 65.2049992210138
Kentucky, 88.9297125141821
Louisiana, 95.3954290408666
Maine, 57.6644876915204
Maryland, 55.2988242962293
Massachusetts, 67.2447156480319
Michigan, 77.2605453131279
Minnesota, 61.0056346400366
Mississippi, 78.8480546083559
Missouri, 60.3661685237618
Montana, 82.7531880321169
Nebraska, 60.5198802433619
Nevada, 56.8281902122415
New Hampshire, 72.7968670936315
New Jersey, 56.7580714411133
New Mexico, 69.7048092844344
New York, 47.4470638570178
North Carolina, 54.0740085065982
North Dakota, 56.36591268358
Ohio, 68.336740011305
Oklahoma, 74.8727278716583
Oregon, 57.6512052056473
Pennsylvania, 65.6423641722445
Rhode Island, 61.4238097961132
South Carolina, 59.5136744644853
South Dakota, 61.5489582748139
Tennessee, 82.2029948817807
Texas, 54.2693839684053
Utah, 61.1749248914798
Vermont, 30.2397633689284
Virginia, 48.8474263617408
Washington, 54.7217207916081
West Virginia, 86.4483920250142
Wisconsin, 51.0916634307041
Wyoming, 57.6576118882243
